Country,Cluster,PC1,PC2
1,1,0.4737108973946033,1.6431243698359075
3,1,0.5690507459672189,1.11662322772913
5,1,0.5796720955139953,-0.6645677205115644
14,1,0.9751164655490119,0.04877226448955647
11,1,-0.18532659176055757,1.5647725794958027
10,1,0.19838804511651065,0.9370156121923673
9,1,-0.8235157412567926,2.1197314686904005
8,1,0.37648255756412746,2.37604209642722
24,1,0.35906880996106066,1.2684411437289873
25,1,0.6835205109720386,0.34301702883395363
27,1,1.2214577555381259,1.5626284166133486
28,1,-0.29965917653297086,1.8984032770493067
31,1,0.17214922402565244,-1.832010779201342
30,1,1.2229276249752092,1.3193250638807776
17,1,-0.32903792244521507,0.6287757016044122
16,1,-0.5902689792914969,-0.5313597124954541
40,1,-2.09797619323726,1.3468175217766472
43,1,-1.9951657439910246,1.0596980221518622
45,1,-0.6392042232208144,0.026999309670715236
44,1,0.7774325378036507,-0.32658766269770756
39,1,-0.7152444353546373,0.4908674229395073
35,1,-0.8090874512259602,-1.1951164662131721
34,1,1.131862295519111,1.7020604720213999
50,1,-0.8652525736197688,0.001220706215317699
33,1,-1.9996354090740418,1.6575339879647828
19,2,4.081224165274937,-0.29445383905390354
29,2,3.29864365248373,-1.2406673815919296
18,2,1.4227446235546197,-1.3805149846032723
12,2,2.812912779292165,1.8246311230595424
13,2,3.2365442029556526,0.32096355514289754
4,2,1.304271931692802,-2.689208275340736
21,2,4.156631394301918,0.49249171980903483
46,2,5.403906726465329,-0.8433437518455534
42,2,2.0880054202430616,-1.7066924461791275
36,2,3.1972309999784994,-1.4275132167784101
41,2,6.122149787037895,-0.21592100462114208
48,2,2.9383010983791435,-0.17072096247288748
49,2,2.358860815912046,0.3021161524371691
38,2,5.236408702156477,0.0026042154818304124
47,3,-3.719601237437681,0.039559119685729435
6,3,-3.2409518653058775,1.177264170181155
26,3,-3.2204987720828435,-0.7912355151893057
22,3,-2.882464874738094,-1.5454191413967207
20,3,-2.9605196446374475,-2.278927367700253
2,3,-1.9214847222949232,-3.2805404981896347
7,3,-1.9436818395016677,-2.043893899781018
15,3,-3.314523111141972,-0.8378630460544161
23,3,-1.325891499130102,-2.6043947418843634
32,3,-4.945814684308209,-1.2152166330805694
37,3,-3.301454324667586,-0.916014499722768
51,3,-6.1998356396177,-1.5322122202238992
0,4,-6.0725792097539415,4.292896017720388
